entity_id	valid	rejected	polled	electors	SJB	SLPP	UNP	JJB	IND19_D01	IND08_D01	JSWP	IND05_D01	IND02_D01	IND13_D01	IND11_D01	ULF	IND17_D01	IND10_D01	FSP	IND07_D01	USP	SPS	IND01_D01	IND06_D01	IND04_D01	IND20_D01	IND12_D01	IND15_D01	JSP	LP	SEP	NPP	IND18_D01	IND09_D01	IND24_D01	IND14_D01	IND26_D01	DUNF	NSU	IND25_D01	IND21_D01	IND03_D01	IND22_D01	SJP	IND16_D01	IND23_D01
LK-1230310	353	16	369	487	63	262	4	10			1								0			0							0									0	0					0		
LK-1230315	489	22	512	675	88	363	6	15			2								0			0							0									0	0					0		
LK-1230320	951	44	996	1313	172	707	13	29			4								0			0							0									0	0					0		
LK-1230325	430	20	450	594	77	319	5	13			1								0			0							0									0	0					0		
LK-1230330	992	46	1039	1369	179	737	13	30			4								0			0							0									0	0					0		
LK-1230335	696	32	729	961	126	517	9	21			3								0			0							0									0	0					0		
LK-1230340	705	32	738	972	127	524	9	21			3								0			0							0									0	0					0		
LK-1230345	352	16	369	486	63	262	4	10			1								0			0							0									0	0					0		
LK-1230350	476	22	498	657	86	353	6	14			2								0			0							0									0	0					0		
LK-1230355	523	24	548	722	94	389	7	16			2								0			0							0									0	0					0		
LK-1230360	909	42	952	1255	164	676	12	28			3								0			0							0									0	0					0		
LK-1230365	735	34	769	1014	133	546	10	22			3								0			0							0									0	0					0		
LK-1230370	585	27	613	808	106	435	8	18			2								0			0							0									0	0					0		
LK-1230375	676	31	707	933	122	502	9	20			2								0			0							0									0	0					0		
LK-1230380	324	15	340	448	58	241	4	10			1								0			0							0									0	0					0		
LK-1230385	843	39	882	1163	152	626	11	25			3								0			0							0									0	0					0		
LK-1230390	928	43	972	1281	168	690	12	28			4								0			0							0									0	0					0		
LK-1230395	600	28	628	828	108	446	8	18			2								0			0							0									0	0					0		
LK-1230400	1159	54	1214	1600	209	862	16	35			5								0			1							1									0	0					0		
LK-1230405	304	14	318	420	55	226	4	9			1								0			0							0									0	0					0		
LK-1230410	940	43	984	1298	170	699	13	28			4								0			0							0									0	0					0		
LK-1230415	353	16	369	487	63	262	4	10			1								0			0							0									0	0					0		
LK-1230420	440	20	460	607	79	327	6	13			1								0			0							0									0	0					0		
LK-1230425	321	15	336	443	58	238	4	9			1								0			0							0									0	0					0		
LK-1230430	421	19	441	581	76	313	5	12			1								0			0							0									0	0					0		
LK-1230435	600	28	628	828	108	446	8	18			2								0			0							0									0	0					0		
LK-1230440	593	27	620	818	107	440	8	18			2								0			0							0									0	0					0		
LK-1230445	723	33	756	997	130	537	10	22			3								0			0							0									0	0					0		
LK-1230450	885	41	926	1221	160	657	12	27			3								0			0							0									0	0					0		
LK-1230455	805	37	842	1110	145	598	11	24			3								0			0							0									0	0					0		
LK-1230460	516	24	541	713	93	384	7	15			2								0			0							0									0	0					0		
LK-1230465	633	29	662	873	114	470	8	19			2								0			0							0									0	0					0		
LK-1230470	438	20	458	604	79	325	6	13			1								0			0							0									0	0					0		
LK-1230475	648	30	678	894	117	481	8	19			2								0			0							0									0	0					0		
LK-1230480	561	26	587	774	101	416	7	17			2								0			0							0									0	0					0		
LK-1230485	657	30	687	906	118	488	9	20			2								0			0							0									0	0					0		
LK-1230490	739	34	774	1020	133	549	10	22			3								0			0							0									0	0					0		
LK-1230495	894	41	936	1234	161	665	12	27			3								0			0							0									0	0					0		
LK-1230500	558	26	584	770	101	414	7	17			2								0			0							0									0	0					0		
LK-1230505	1744	81	1826	2407	315	1296	24	53			7								1			1							1									0	0					0		
LK-1230510	1001	46	1047	1381	181	744	13	30			4								0			0							0									0	0					0		
LK-1230515	476	22	498	657	86	353	6	14			2								0			0							0									0	0					0		
LK-1230520	911	42	953	1257	164	677	12	28			3								0			0							0									0	0					0		
LK-1230525	1051	49	1100	1450	190	781	14	32			4								0			1							1									0	0					0		
LK-1230530	1897	88	1985	2617	343	1409	26	58			8								1			1							1									0	0					0		
LK-1230535	530	24	555	732	96	394	7	16			2								0			0							0									0	0					0		
LK-1230540	389	18	407	537	70	289	5	11			1								0			0							0									0	0					0		
LK-1230545	568	26	594	784	102	422	7	17			2								0			0							0									0	0					0		
LK-1230550	593	27	621	819	107	441	8	18			2								0			0							0									0	0					0		
LK-1230555	453	21	474	625	82	336	6	13			1								0			0							0									0	0					0		
LK-1230560	631	29	661	871	114	469	8	19			2								0			0							0									0	0					0		
LK-1230565	555	25	581	767	100	413	7	17			2								0			0							0									0	0					0		
LK-1230570	479	22	502	661	86	356	6	14			2								0			0							0									0	0					0		
LK-1230575	549	25	575	758	99	408	7	16			2								0			0							0									0	0					0		
LK-1230580	776	36	813	1071	140	577	10	23			3								0			0							0									0	0					0		
LK-1230585	499	23	522	689	90	371	6	15			2								0			0							0									0	0					0		
LK-1230590	916	42	959	1264	165	681	12	28			3								0			0							0									0	0					0		
LK-1230595	573	26	600	792	103	426	7	17			2								0			0							0									0	0					0		
LK-1230600	583	27	610	805	105	433	8	17			2								0			0							0									0	0					0		
LK-1230605	896	41	938	1237	162	666	12	27			3								0			0							0									0	0					0		
LK-1230610	914	42	956	1261	165	679	12	28			3								0			0							0									0	0					0		
LK-1230615	650	30	681	898	117	483	9	20			2								0			0							0									0	0					0		
LK-1230620	1367	63	1431	1887	247	1016	18	42			5								1			1							1									0	0					0		
LK-1230625	580	27	607	801	105	431	8	17			2								0			0							0									0	0					0		
LK-1230630	696	32	728	960	125	517	9	21			3								0			0							0									0	0					0		
LK-1230635	467	21	489	644	84	347	6	14			2								0			0							0									0	0					0		
LK-1230640	519	24	543	716	93	385	7	15			2								0			0							0									0	0					0		
LK-1230645	558	26	584	771	101	415	7	17			2								0			0							0									0	0					0		
LK-1230650	769	35	805	1061	139	571	10	23			3								0			0							0									0	0					0		
LK-1230655	828	38	867	1143	150	615	11	25			3								0			0							0									0	0					0		
LK-1230660	641	29	671	884	116	476	8	19			2								0			0							0									0	0					0		
LK-1230665	920	43	963	1270	166	684	12	28			3								0			0							0									0	0					0		
LK-1233	109765	6209	116019	159990	21242	76182	2645	5740			301								106			57							17									0	0					4		
LK-1233005	916	52	969	1336	177	636	22	48			2								1			0							0									0	0					0		
LK-1233010	755	43	798	1101	146	524	18	39			2								1			0							0									0	0					0		
LK-1233015	972	55	1028	1417	188	675	23	51			3								1			0							0									0	0					0		
LK-1233020	799	45	845	1165	155	555	19	42			2								1			0							0									0	0					0		
LK-1233025	774	44	818	1128	150	537	18	40			2								1			0							0									0	0					0		
LK-1233030	856	48	905	1248	166	594	21	45			2								1			0							0									0	0					0		
LK-1233035	362	20	383	528	70	251	8	19			1								0			0							0									0	0					0		
LK-1233040	615	35	650	897	119	427	15	32			1								0			0							0									0	0					0		
LK-1233045	880	50	930	1283	170	611	21	46			2								1			0							0									0	0					0		
LK-1233050	451	25	477	657	87	313	11	23			1								0			0							0									0	0					0		
LK-1233055	827	47	874	1205	160	574	20	43			2								1			0							0									0	0					0		
LK-1233060	716	40	757	1044	138	497	17	37			2								0			0							0									0	0					0		
LK-1233065	431	24	456	629	83	299	10	22			1								0			0							0									0	0					0		
LK-1233070	598	34	632	872	116	415	14	31			1								0			0							0									0	0					0		
LK-1233075	771	43	814	1123	149	535	18	40			2								1			0							0									0	0					0		
LK-1233080	534	30	564	778	103	370	13	28			1								0			0							0									0	0					0		
LK-1233085	210	12	222	307	40	146	5	11			0								0			0							0									0	0					0		
LK-1233090	1029	58	1088	1500	199	714	25	54			3								1			0							0									0	0					0		
LK-1233095	944	53	998	1376	183	655	23	49			3								1			0							0									0	0					0		
LK-1233100	495	28	523	721	95	343	12	26			1								0			0							0									0	0					0		
LK-1233105	446	25	471	650	86	309	10	23			1								0			0							0									0	0					0		
LK-1233110	293	16	310	427	56	203	7	15			0								0			0							0									0	0					0		
LK-1233115	257	14	272	375	49	178	6	13			0								0			0							0									0	0					0		
LK-1233120	566	32	598	825	109	393	13	29			1								0			0							0									0	0					0		
LK-1233125	650	37	687	948	126	451	15	34			2								0			0							0									0	0					0		
LK-1233130	518	29	548	756	100	360	12	27			1								0			0							0									0	0					0		
LK-1233135	950	54	1004	1385	184	659	23	50			3								1			0							0									0	0					0		
LK-1233140	1626	92	1719	2370	315	1129	39	85			5								2			1							0									0	0					0		
LK-1233145	623	35	659	908	120	432	15	32			1								0			0							0									0	0					0		
LK-1233150	638	36	674	930	123	443	15	33			2								0			0							0									0	0					0		
LK-1233155	1170	66	1236	1705	226	812	28	61			3								1			1							0									0	0					0		
LK-1233160	772	43	816	1126	149	536	18	40			2								1			0							0									0	0					0		
LK-1233165	756	43	799	1102	146	524	18	39			2								1			0							0									0	0					0		
LK-1233170	708	40	749	1032	137	491	17	37			2								0			0							0									0	0					0		
LK-1233175	806	45	852	1175	156	559	19	42			2								1			0							0									0	0					0		
LK-1233180	1049	59	1109	1529	203	728	25	55			3								1			1							0									0	0					0		
LK-1233185	948	53	1002	1381	183	658	23	49			3								1			0							0									0	0					0		
LK-1233190	697	39	736	1015	135	483	17	36			2								0			0							0									0	0					0		
LK-1233195	1468	83	1552	2140	284	1019	36	77			4								2			1							0									0	0					0		
LK-1233200	1451	82	1533	2114	281	1007	35	76			4								1			1							0									0	0					0		
LK-1233205	1058	60	1118	1541	205	734	25	55			3								1			1							0									0	0					0		
LK-1233210	2156	122	2279	3143	418	1497	52	113			6								2			2							1									0	0					0		
LK-1233215	970	55	1025	1414	188	673	23	51			3								1			0							0									0	0					0		
LK-1233220	901	51	952	1313	174	625	22	47			2								1			0							0									0	0					0		
LK-1233225	1354	77	1431	1974	262	940	33	71			4								1			1							0									0	0					0		
LK-1233230	1377	78	1455	2007	266	956	33	72			4								1			1							0									0	0					0		
LK-1233235	1152	65	1218	1679	223	800	28	60			3								1			1							0									0	0					0		
LK-1233240	1189	67	1257	1733	230	825	29	62			3								1			1							0									0	0					0		
LK-1233245	2711	154	2865	3951	525	1881	66	142			8								3			2							1									0	0					1		
LK-1233250	2778	158	2937	4049	538	1928	68	146			8								3			2							1									0	0					1		
LK-1233255	1810	103	1913	2637	350	1256	44	95			5								2			1							1									0	0					0		
LK-1233260	2005	114	2119	2922	388	1391	49	105			6								2			1							1									0	0					0		
LK-1233265	3771	214	3986	5496	731	2617	92	198			12								5			3							2									0	0					1		
LK-1233270	1351	76	1428	1970	262	938	33	71			4								1			1							0									0	0					0		
LK-1233275	1179	67	1246	1719	228	818	28	62			3								1			1							0									0	0					0		
LK-1233280	1210	68	1279	1763	234	840	29	63			3								1			1							0									0	0					0		
LK-1233285	2626	149	2776	3827	509	1823	64	138			8								3			2							1									0	0					1		
LK-1233290	2018	114	2133	2942	391	1401	49	106			6								2			1							1									0	0					0		
LK-1233295	1610	91	1702	2347	312	1118	39	84			5								2			1							0									0	0					0		
LK-1233300	2270	129	2400	3309	440	1576	55	119			7								3			2							1									0	0					0		
LK-1233305	1125	64	1189	1640	218	781	27	59			3								1			1							0									0	0					0		
LK-1233310	936	53	989	1364	181	650	22	49			2								1			0							0									0	0					0		
LK-1233315	1484	84	1569	2163	287	1030	36	78			4								2			1							0									0	0					0		
LK-1233320	1032	58	1091	1504	200	716	25	54			3								1			0							0									0	0					0		
LK-1233325	1868	106	1974	2722	362	1296	45	98			5								2			1							1									0	0					0		
LK-1233330	1988	113	2101	2897	385	1380	48	104			6								2			1							1									0	0					0		
LK-1233335	1455	82	1538	2121	282	1010	35	76			4								1			1							0									0	0					0		
LK-1233340	1467	83	1550	2138	284	1018	35	77			4								2			1							0									0	0					0		
LK-1233345	1061	60	1122	1547	205	737	26	55			3								1			1							0									0	0					0		
LK-1233350	1173	66	1240	1710	227	814	28	61			3								1			1							0									0	0					0		
LK-1233355	2299	130	2430	3351	445	1596	56	121			7								3			2							1									0	0					0		
LK-1233360	1582	90	1672	2305	306	1098	38	83			5								2			1							0									0	0					0		
LK-1233365	1141	64	1206	1663	221	792	27	60			3								1			1							0									0	0					0		
LK-1233370	987	56	1043	1439	191	685	24	52			3								1			0							0									0	0					0		
LK-1233375	1142	65	1207	1665	221	793	28	60			3								1			1							0									0	0					0		
LK-1233380	1880	107	1988	2741	364	1305	46	99			5								2			1							1									0	0					0		
LK-1233385	1116	63	1179	1626	216	774	27	58			3								1			1							0									0	0					0		
LK-1233390	1142	65	1207	1665	221	793	28	60			3								1			1							0									0	0					0		
LK-1233395	1175	66	1242	1712	227	815	28	61			3								1			1							0									0	0					0		
LK-1233400	1383	78	1461	2015	268	960	33	72			4								1			1							0									0	0					0		
LK-1233405	791	45	836	1153	153	549	19	41			2								1			0							0									0	0					0		
LK-1233410	1330	75	1405	1938	257	923	32	70			4								1			1							0									0	0					0		
LK-1233415	2042	116	2158	2976	395	1417	50	107			6								2			1							1									0	0					0		
LK-1233420	883	50	933	1287	171	613	21	46			2								1			0							0									0	0					0		
LK-1233425	1652	94	1746	2408	320	1147	40	87			5								2			1							1									0	0					0		
LK-1233430	1323	75	1398	1928	256	918	32	69			4								1			1							0									0	0					0		
LK-1233435	1504	85	1590	2192	291	1044	36	79			4								2			1							0									0	0					0		
LK-1233440	1545	87	1633	2252	299	1073	37	81			4								2			1							0									0	0					0		
LK-1233445	1248	71	1319	1819	242	866	30	65			3								1			1							0									0	0					0		
LK-1233450	1466	83	1550	2137	284	1018	35	77			4								2			1							0									0	0					0		
LK-1233455	922	52	974	1344	178	640	22	48			2								1			0							0									0	0					0		
LK-1233460	1800	102	1903	2624	349	1249	44	94			5								2			1							1									0	0					0		
LK-1236	64243	4070	68333	94930	17665	39151	1482	3404			176								42			38							36									10	0					1		
LK-1236005	3109	197	3307	4594	855	1895	72	165			9								3			2							2									1	0					1		
LK-1236010	1397	88	1486	2065	384	851	32	74			4								1			1							1									0	0					0		
LK-1236015	2695	171	2867	3982	741	1643	62	143			8								2			2							2									1	0					0		
LK-1236020	2182	138	2321	3224	600	1330	50	116			6								2			1							1									1	0					0		
LK-1236025	1545	98	1643	2282	425	941	36	82			4								1			1							1									0	0					0		
LK-1236030	1748	111	1859	2583	481	1065	40	93			5								1			1							1									0	0					0		
LK-1236035	759	48	808	1122	209	463	17	40			2								0			0							0									0	0					0		
LK-1236040	1692	107	1800	2501	465	1031	39	90			5								1			1							1									0	0					0		
LK-1236045	1230	78	1308	1817	338	749	28	65			3								1			1							1									0	0					0		
LK-1236050	2701	171	2873	3991	743	1646	63	143			8								2			2							2									1	0					0		
LK-1236055	1640	104	1745	2424	451	1000	38	87			4								1			1							1									0	0					0		
LK-1236060	1832	116	1948	2707	504	1116	42	97			5								1			1							1									0	0					0		
LK-1236065	1597	101	1699	2360	439	974	37	85			4								1			1							1									0	0					0		
LK-1236070	1643	104	1748	2428	452	1001	38	87			4								1			1							1									0	0					0		
LK-1236075	1704	108	1813	2518	469	1039	39	90			5								1			1							1									0	0					0		
LK-1236080	1836	116	1953	2714	505	1119	42	97			5								1			1							1									0	0					0		
LK-1236085	1887	120	2007	2788	519	1150	44	100			5								1			1							1									0	0					0		
LK-1236090	1488	94	1583	2199	409	907	34	79			4								1			1							1									0	0					0		
LK-1236095	1388	88	1477	2051	382	846	32	73			4								1			1							1									0	0					0		
LK-1236100	906	57	964	1339	249	552	21	48			2								0			0							0									0	0					0		
LK-1236105	1759	112	1871	2600	484	1072	41	93			5								1			1							1									0	0					0		
LK-1236110	1807	115	1922	2670	497	1101	42	96			5								1			1							1									0	0					0		
LK-1236115	2368	150	2519	3499	651	1443	55	126			7								2			2							1									1	0					0		
LK-1236120	2405	153	2558	3553	661	1466	56	128			7								2			2							1									1	0					0		
LK-1236125	1725	109	1835	2549	474	1051	40	91			5								1			1							1									0	0					0		
LK-1236130	1885	120	2005	2786	518	1149	44	100			5								1			1							1									0	0					0		
LK-1236135	957	60	1018	1414	263	583	22	50			2								0			0							0									0	0					0		
LK-1236140	1828	116	1944	2701	503	1114	42	97			5								1			1							1									0	0					0		
LK-1236145	2134	135	2269	3153	587	1300	49	113			6								2			1							1									1	0					0		
LK-1236150	1431	91	1522	2114	393	872	33	76			4								1			1							1									0	0					0		
LK-1236155	1265	80	1345	1869	348	771	29	67			3								1			1							1									0	0					0		
LK-1236160	1511	96	1607	2233	415	921	35	80			4								1			1							1									0	0					0		
LK-1236165	1942	123	2065	2869	534	1183	45	103			5								1			1							1									1	0					0		
LK-1236170	968	61	1030	1431	266	590	22	51			2								0			0							0									0	0					0		
LK-1236175	1915	121	2037	2830	527	1167	44	101			5								1			1							1									1	0					0		
LK-1236180	2038	129	2167	3011	560	1242	47	108			6								2			1							1									1	0					0		
LK-1236185	1326	84	1410	1959	364	808	30	70			4								1			1							1									0	0					0		
LK-1239	91260	4923	96207	130724	18056	62274	3027	4349			281								118			64							22									1	0					59		
LK-1239005	1349	73	1422	1932	267	920	45	64			4								2			1							0									0	0					1		
LK-1239010	1666	90	1757	2387	330	1137	55	79			5								2			1							0									0	0					1		
LK-1239015	2447	132	2580	3505	484	1670	81	117			8								3			2							1									0	0					2		
LK-1239020	2804	151	2956	4017	555	1914	93	134			9								4			2							1									0	0					2		
LK-1239025	1363	73	1437	1953	270	930	45	65			4								2			1							0									0	0					1		
LK-1239030	1310	71	1381	1877	259	894	43	62			4								2			1							0									0	0					1		
LK-1239035	1285	69	1354	1840	254	877	42	61			4								1			1							0									0	0					1		
LK-1239040	1230	66	1297	1763	243	840	41	58			4								1			1							0									0	0					1		
LK-1239045	858	46	905	1229	170	585	28	41			2								1			0							0									0	0					0		
LK-1239050	1384	74	1459	1982	274	944	46	66			4								2			1							0									0	0					1		
LK-1239055	1129	61	1190	1618	223	770	37	54			3								1			1							0									0	0					0		
LK-1239060	1939	105	2045	2778	384	1323	64	92			6								2			1							1									0	0					1		
LK-1239065	1340	72	1413	1920	265	914	44	64			4								2			1							0									0	0					1		
LK-1239070	2654	143	2798	3801	525	1811	88	127			8								4			2							1									0	0					2		
LK-1239075	2698	146	2844	3865	534	1841	90	129			9								4			2							1									0	0					2		
LK-1239080	2375	128	2504	3402	470	1621	79	113			7								3			2							1									0	0					2		
LK-1239085	1721	93	1814	2465	340	1174	57	82			5								2			1							0									0	0					1		
LK-1239090	3269	177	3446	4682	647	2231	109	156			10								5			3							1									1	0					2		
LK-1239095	2303	124	2428	3299	456	1572	76	110			7								3			2							1									0	0					2		
LK-1239100	1161	62	1224	1664	230	793	38	55			3								1			1							0									0	0					1		
LK-1239105	2735	148	2883	3917	541	1866	91	131			9								4			2							1									0	0					2		
LK-1239110	1521	82	1603	2178	301	1038	50	72			5								2			1							0									0	0					1		
LK-1239115	2736	148	2884	3919	541	1867	91	131			9								4			2							1									0	0					2		
LK-1239120	1996	108	2104	2859	395	1362	66	95			6								3			1							1									0	0					1		
LK-1239125	3091	167	3259	4428	612	2109	103	148			10								4			2							1									0	0					2		
LK-1239130	1066	57	1124	1527	211	727	35	51			3								1			1							0									0	0					0		
LK-1239135	2274	123	2397	3257	450	1552	76	108			7								3			2							1									0	0					1		
LK-1239140	2993	162	3155	4287	592	2043	100	143			10								4			2							1									0	0					2		
LK-1239145	2228	120	2348	3191	441	1520	74	106			7								3			2							1									0	0					1		
LK-1239150	1323	71	1395	1895	262	903	44	63			4								2			1							0									0	0					1		
LK-1239155	2458	133	2591	3521	486	1677	82	117			8								3			2							1									0	0					2		
LK-1239160	2581	139	2721	3697	511	1761	86	123			8								3			2							1									0	0					2		
LK-1239165	1408	76	1484	2017	278	961	47	67			4								2			1							0									0	0					1		
LK-1239170	1145	62	1207	1641	226	781	38	54			3								1			1							0									0	0					1		
LK-1239175	1629	88	1717	2333	322	1111	54	78			5								2			1							0									0	0					1		
LK-1239180	1599	86	1686	2291	316	1091	53	76			5								2			1							0									0	0					1		
LK-1239185	1001	54	1056	1435	198	683	33	48			3								1			0							0									0	0					0		
LK-1239190	2493	135	2628	3571	493	1701	83	119			8								3			2							1									0	0					2		
LK-1239195	1247	67	1315	1786	247	851	41	59			4								1			1							0									0	0					1		
LK-1239200	2928	158	3086	4194	579	1998	97	140			9								4			2							1									0	0					2		
LK-1239205	1596	86	1682	2286	316	1089	53	76			5								2			1							0									0	0					1		
LK-1239210	1917	103	2021	2746	379	1308	64	91			6								2			1							1									0	0					1		
LK-1239215	1318	71	1389	1887	261	899	44	63			4								2			1							0									0	0					1		
LK-1239220	1620	87	1708	2320	320	1105	54	77			5								2			1							0									0	0					1		
LK-1239225	1475	79	1555	2113	292	1007	49	70			4								2			1							0									0	0					1		
LK-1239230	910	49	959	1303	180	621	30	43			3								1			0							0									0	0					0		
LK-1239235	1015	55	1070	1454	201	693	33	48			3								1			0							0									0	0					0		
LK-1239240	2622	142	2765	3756	519	1790	87	125			8								4			2							1									0	0					2		
LK-1239245	2050	111	2161	2936	406	1399	68	98			6								3			1							1									0	0					1		
LK-13	664958	44463	709773	934157	165222	424645	14921	30457			699								866		252	155																140						78		
LK-1303	98387	5829	104252	138105	24098	60879	2233	5942			116								99		27	21																14						29		
LK-1303005	844	50	894	1187	210	516	19	52			1								1		0	0																0						0		
LK-1303010	1079	64	1144	1518	269	660	24	67			1								1		0	0																0						0		
LK-1303015	703	42	745	989	175	430	16	43			1								0		0	0																0						0		
LK-1303020	1146	68	1215	1612	286	701	26	71			1								1		0	0																0						0		
LK-1303025	1401	83	1485	1971	349	857	32	87			2								1		0	0																0						0		
LK-1303030	2092	125	2218	2943	521	1280	47	130			3								2		1	1																0						1		
LK-1303035	1285	76	1362	1808	320	786	29	80			2								1		0	0																0						0		
LK-1303040	1569	93	1663	2207	391	960	35	97			2								2		1	0																0						1		
LK-1303045	2306	138	2444	3244	575	1411	52	143			3								3		1	1																0						1		
LK-1303050	3362	201	3564	4730	838	2057	77	209			5								4		2	2																1						2		
LK-1303055	1725	103	1829	2427	430	1055	39	107			2								2		1	1																0						1		
LK-1303060	1621	97	1718	2281	404	992	37	100			2								2		1	0																0						1		
LK-1303065	2291	137	2428	3223	571	1402	52	142			3								3		1	1																0						1		
LK-1303070	1339	80	1419	1883	334	819	30	83			2								1		0	0																0						0		
LK-1303075	2579	154	2733	3627	643	1578	59	160			4								3		1	1																0						1		
LK-1303080	1337	80	1417	1881	333	818	30	83			2								1		0	0																0						0		
LK-1303085	1079	64	1143	1517	269	660	24	67			1								1		0	0																0						0		
LK-1303090	1071	64	1135	1507	267	655	24	66			1								1		0	0																0						0		
LK-1303095	1584	94	1679	2228	395	969	36	98			2								2		1	0																0						1		
LK-1303100	1916	114	2031	2696	478	1172	43	119			3								2		1	1																0						1		
LK-1303105	982	56	1039	1358	212	655	23	49			1								1		0	0																1						0		
LK-1303110	932	53	985	1289	201	621	22	46			1								1		0	0																1						0		
LK-1303115	2317	133	2450	3204	501	1545	55	116			2								3		1	1																3						1		
LK-1303120	1412	81	1494	1953	305	942	33	71			1								2		0	1																1						0		
LK-1303125	1022	61	1084	1438	255	625	23	63			1								1		0	0																0						0		
LK-1303130	727	43	771	1023	181	445	16	45			1								0		0	0																0						0		
LK-1303135	1580	94	1675	2223	394	967	36	98			2								2		1	0																0						1		
LK-1303140	1358	81	1439	1910	338	831	31	84			2								1		0	0																0						0		
LK-1303145	1870	111	1982	2631	466	1144	42	116			2								2		1	1																0						1		
LK-1303150	928	55	983	1305	231	568	21	57			1								1		0	0																0						0		
LK-1303155	962	57	1020	1354	240	589	22	59			1								1		0	0																0						0		
LK-1303160	2701	155	2856	3734	583	1801	64	135			3								4		1	2																3						1		
LK-1303165	2105	120	2226	2911	455	1404	50	105			2								3		1	1																2						1		
LK-1303170	2112	121	2233	2920	456	1408	50	106			2								3		1	1																2						1		
LK-1303175	878	52	931	1235	219	537	20	54			1								1		0	0																0						0		
LK-1303180	1213	72	1286	1707	302	742	27	75			1								1		0	0																0						0		
LK-1303185	567	34	601	798	141	347	13	35			0								0		0	0																0						0		
LK-1303190	503	30	533	708	125	308	11	31			0								0		0	0																0						0		
LK-1303195	293	17	310	412	73	179	6	18			0								0		0	0																0						0		
LK-1303200	434	26	461	611	108	266	9	27			0								0		0	0																0						0		
LK-1303205	322	19	342	454	80	197	7	20			0								0		0	0																0						0		
LK-1303210	949	56	1006	1336	236	581	21	59			1								1		0	0																0						0		
LK-1303215	1392	83	1475	1958	347	851	31	86			2								1		0	0																0						0		
LK-1303220	1874	112	1986	2636	467	1146	42	116			2								2		1	1																0						1		
LK-1303225	1647	98	1745	2316	410	1007	37	102			2								2		1	0																0						1		
LK-1303230	1476	88	1564	2076	368	903	33	91			2								1		0	0																0						1		
LK-1303235	1608	96	1704	2262	401	984	36	100			2								2		1	0																0						1		
LK-1303240	748	44	792	1052	186	457	17	46			1								0		0	0																0						0		
LK-1303245	953	57	1010	1340	237	583	21	59			1								1		0	0																0						0		
LK-1303250	747	44	791	1050	186	457	17	46			1								0		0	0																0						0		
LK-1303255	1215	72	1288	1710	303	743	27	75			1								1		0	0																0						0		
LK-1303260	1732	103	1836	2436	432	1059	39	107			2								2		1	1																0						1		
LK-1303265	2083	124	2207	2930	519	1274	47	129			3								2		1	1																0						1		
LK-1303270	1060	63	1124	1492	264	649	24	66			1								1		0	0																0						0		
LK-1303275	1616	96	1713	2273	403	989	37	100			2								2		1	0																0						1		
LK-1303280	807	48	856	1136	201	494	18	50			1								1		0	0																0						0		
LK-1303285	1575	94	1670	2216	393	964	36	98			2								2		1	0																0						1		
LK-1303290	1369	82	1451	1926	341	838	31	85			2								1		0	0																0						0		
LK-1303295	1828	109	1937	2571	456	1118	41	113			2								2		1	1																0						1		
LK-1303300	1186	71	1257	1668	295	725	27	73			1								1		0	0																0						0		
LK-1303305	1329	79	1409	1870	331	813	30	82			2								1		0	0																0						0		
LK-1303310	1803	107	1911	2536	449	1103	41	112			2								2		1	1																0						1		
LK-1303315	1524	91	1616	2144	380	932	34	94			2								2		0	0																0						1		
LK-1303320	746	44	791	1050	186	456	17	46			1								0		0	0																0						0		
LK-1303325	1364	81	1446	1919	340	834	31	84			2								1		0	0																0						0		
LK-1303330	2127	127	2255	2992	530	1301	48	132			3								2		1	1																0						1		
LK-1303335	579	34	613	814	144	354	13	36			0								0		0	0																0						0		
LK-1303340	1138	68	1206	1600	283	696	26	70			1								1		0	0																0						0		
LK-1303345	761	45	807	1071	189	465	17	47			1								1		0	0																0						0		
LK-1303350	1094	65	1159	1538	272	669	25	68			1								1		0	0																0						0		
LK-1303355	1321	79	1400	1858	329	808	30	82			2								1		0	0																0						0		
LK-1303360	1189	71	1260	1672	296	727	27	74			1								1		0	0																0						0		
LK-1306	61810	3522	65365	85469	13338	41213	1448	3081			47								72		3	18																54						8		
LK-1306005	1223	70	1293	1691	264	815	29	61			1								2		0	1																1						0		
LK-1306010	1021	58	1080	1412	220	681	24	51			1								1		0	0																1						0		
LK-1306015	1481	85	1566	2048	320	988	35	74			1								2		0	1																2						0		
LK-1306020	2216	127	2344	3065	479	1478	52	111			2								3		1	1																3						1		
LK-1306025	1142	65	1208	1579	246	761	27	57			1								1		0	0																1						0		
LK-1306030	1384	79	1464	1914	299	923	33	69			1								2		0	1																1						0		
LK-1306035	944	54	999	1306	204	630	22	47			1								1		0	0																1						0		
LK-1306040	532	30	562	735	115	354	12	26			0								0		0	0																0						0		
LK-1306045	600	34	634	829	129	400	14	30			0								0		0	0																0						0		
LK-1306050	1629	93	1723	2253	352	1087	38	81			2								2		0	1																2						1		
LK-1306055	1007	57	1064	1392	217	671	24	50			1								1		0	0																1						0		
LK-1306060	881	50	932	1218	190	587	21	44			1								1		0	0																1						0		
LK-1306065	1179	67	1247	1631	255	786	28	59			1								1		0	0																1						0		
LK-1306070	971	55	1027	1343	209	647	23	48			1								1		0	0																1						0		
LK-1306075	1592	91	1683	2201	344	1062	38	80			1								2		0	1																2						1		
LK-1306080	1831	105	1936	2531	395	1221	43	92			2								3		0	1																2						1		
