entity_id	valid	rejected	polled	electors	I-AMI	UPF	DNM	SLNF	USP	AACAAKO	SEP	FSP	SLLP	NDF	ULPP	I-AP	JSP	NSH	PNF	UPFA	ONF	NSSP	ULGC
LK-2212055	273	2	276	355	0	0	0	0	0	0	0	0	0	114	0	0	0	0	0	155	0	0	0
LK-2212060	344	3	348	447	0	0	0	0	0	0	0	0	0	144	0	0	0	0	0	195	0	0	0
LK-2212065	455	4	460	592	0	0	0	0	0	0	0	0	0	191	0	0	0	0	0	258	0	0	0
LK-2212070	335	3	338	435	0	0	0	0	0	0	0	0	0	140	0	0	0	0	0	190	0	0	0
LK-2212075	293	3	297	381	0	0	0	0	0	0	0	0	0	123	0	0	0	0	0	167	0	0	0
LK-2212080	275	2	278	358	0	0	0	0	0	0	0	0	0	115	0	0	0	0	0	156	0	0	0
LK-2212085	332	3	336	432	0	0	0	0	0	0	0	0	0	139	0	0	0	0	0	189	0	0	0
LK-2212090	492	5	498	640	0	0	0	0	0	0	0	0	0	207	0	0	0	0	0	280	0	0	0
LK-2212095	271	2	274	352	0	0	0	0	0	0	0	0	0	114	0	0	0	0	0	154	0	0	0
LK-2212100	424	4	428	551	0	0	0	0	0	0	0	0	0	178	0	0	0	0	0	241	0	0	0
LK-2212105	274	2	277	356	0	0	0	0	0	0	0	0	0	115	0	0	0	0	0	155	0	0	0
LK-2212110	419	4	423	544	0	0	0	0	0	0	0	0	0	176	0	0	0	0	0	238	0	0	0
LK-2212115	584	6	590	759	0	0	0	0	0	0	0	0	0	245	0	0	0	0	1	332	0	0	0
LK-2212120	378	4	382	492	0	0	0	0	0	0	0	0	0	159	0	0	0	0	0	215	0	0	0
LK-2212125	360	3	364	468	0	0	0	0	0	0	0	0	0	151	0	0	0	0	0	204	0	0	0
LK-2212130	306	3	309	397	0	0	0	0	0	0	0	0	0	128	0	0	0	0	0	174	0	0	0
LK-2212135	388	4	393	505	0	0	0	0	0	0	0	0	0	163	0	0	0	0	0	221	0	0	0
LK-2212140	443	4	447	575	0	0	0	0	0	0	0	0	0	186	0	0	0	0	0	251	0	0	0
LK-2212145	641	6	647	832	0	0	0	0	0	0	0	0	0	269	0	0	0	0	1	364	0	0	0
LK-2212150	402	4	406	522	0	0	0	0	0	0	0	0	0	169	0	0	0	0	0	228	0	0	0
LK-2212155	335	3	338	435	0	0	0	0	0	0	0	0	0	140	0	0	0	0	0	190	0	0	0
LK-2212160	358	3	362	465	0	0	0	0	0	0	0	0	0	150	0	0	0	0	0	203	0	0	0
LK-2212165	191	2	193	249	0	0	0	0	0	0	0	0	0	80	0	0	0	0	0	109	0	0	0
LK-2212170	295	3	298	384	0	0	0	0	0	0	0	0	0	124	0	0	0	0	0	168	0	0	0
LK-2212175	330	3	334	429	0	0	0	0	0	0	0	0	0	138	0	0	0	0	0	187	0	0	0
LK-2212180	308	3	311	401	0	0	0	0	0	0	0	0	0	129	0	0	0	0	0	175	0	0	0
LK-2212185	561	5	567	730	0	0	0	0	0	0	0	0	0	236	0	0	0	0	1	319	0	0	0
LK-2212190	397	4	402	516	0	0	0	0	0	0	0	0	0	167	0	0	0	0	0	226	0	0	0
LK-2212195	437	4	442	569	0	0	0	0	0	0	0	0	0	184	0	0	0	0	0	248	0	0	0
LK-2212200	290	3	294	378	0	0	0	0	0	0	0	0	0	122	0	0	0	0	0	165	0	0	0
LK-2212205	334	3	338	434	0	0	0	0	0	0	0	0	0	140	0	0	0	0	0	190	0	0	0
LK-2212210	207	2	209	269	0	0	0	0	0	0	0	0	0	87	0	0	0	0	0	117	0	0	0
LK-2212215	344	3	347	447	0	0	0	0	0	0	0	0	0	144	0	0	0	0	0	195	0	0	0
LK-2212220	701	7	708	911	0	0	0	0	0	0	0	0	0	294	0	0	0	0	1	398	1	0	0
LK-2215	17846	189	18065	23624	0	2	0	0	0	0	0	0	5	10094	4	0	0	0	5	7470	0	0	0
LK-2215005	420	5	425	556	0	0	0	0	0	0	0	0	0	238	0	0	0	0	0	176	0	0	0
LK-2215010	389	4	394	515	0	0	0	0	0	0	0	0	0	220	0	0	0	0	0	163	0	0	0
LK-2215015	384	4	389	509	0	0	0	0	0	0	0	0	0	217	0	0	0	0	0	161	0	0	0
LK-2215020	276	3	279	366	0	0	0	0	0	0	0	0	0	156	0	0	0	0	0	115	0	0	0
LK-2215025	770	9	779	1019	0	1	0	0	0	0	0	0	1	436	1	0	0	0	1	322	0	0	0
LK-2215030	695	8	703	919	0	0	0	0	0	0	0	0	1	393	1	0	0	0	1	291	0	0	0
LK-2215035	190	2	193	252	0	0	0	0	0	0	0	0	0	108	0	0	0	0	0	80	0	0	0
LK-2215040	214	2	217	283	0	0	0	0	0	0	0	0	0	121	0	0	0	0	0	89	0	0	0
LK-2215045	306	3	310	405	0	0	0	0	0	0	0	0	0	173	0	0	0	0	0	128	0	0	0
LK-2215050	430	5	435	569	0	0	0	0	0	0	0	0	0	243	0	0	0	0	0	180	0	0	0
LK-2215055	220	2	223	291	0	0	0	0	0	0	0	0	0	124	0	0	0	0	0	92	0	0	0
LK-2215060	147	1	148	194	0	0	0	0	0	0	0	0	0	83	0	0	0	0	0	61	0	0	0
LK-2215065	222	2	225	294	0	0	0	0	0	0	0	0	0	126	0	0	0	0	0	93	0	0	0
LK-2215070	475	5	480	628	0	0	0	0	0	0	0	0	0	269	0	0	0	0	0	199	0	0	0
LK-2215075	637	7	644	843	0	0	0	0	0	0	0	0	1	360	0	0	0	0	1	267	0	0	0
LK-2215080	310	3	314	410	0	0	0	0	0	0	0	0	0	175	0	0	0	0	0	130	0	0	0
LK-2215085	404	4	409	535	0	0	0	0	0	0	0	0	0	229	0	0	0	0	0	169	0	0	0
LK-2215090	277	3	281	367	0	0	0	0	0	0	0	0	0	157	0	0	0	0	0	116	0	0	0
LK-2215095	478	5	483	632	0	0	0	0	0	0	0	0	0	270	0	0	0	0	0	200	0	0	0
LK-2215100	275	3	279	365	0	0	0	0	0	0	0	0	0	156	0	0	0	0	0	115	0	0	0
LK-2215105	291	3	294	385	0	0	0	0	0	0	0	0	0	165	0	0	0	0	0	122	0	0	0
LK-2215110	361	4	365	477	0	0	0	0	0	0	0	0	0	204	0	0	0	0	0	151	0	0	0
LK-2215115	351	4	355	464	0	0	0	0	0	0	0	0	0	198	0	0	0	0	0	147	0	0	0
LK-2215120	687	8	696	910	0	0	0	0	0	0	0	0	1	389	1	0	0	0	1	288	0	0	0
LK-2215125	286	3	290	379	0	0	0	0	0	0	0	0	0	162	0	0	0	0	0	120	0	0	0
LK-2215130	758	9	768	1004	0	1	0	0	0	0	0	0	1	429	1	0	0	0	1	318	0	0	0
LK-2215135	286	3	290	379	0	0	0	0	0	0	0	0	0	162	0	0	0	0	0	120	0	0	0
LK-2215140	348	4	352	461	0	0	0	0	0	0	0	0	0	197	0	0	0	0	0	146	0	0	0
LK-2215145	297	3	300	393	0	0	0	0	0	0	0	0	0	168	0	0	0	0	0	124	0	0	0
LK-2215150	128	1	129	169	0	0	0	0	0	0	0	0	0	72	0	0	0	0	0	53	0	0	0
LK-2215155	344	4	348	456	0	0	0	0	0	0	0	0	0	195	0	0	0	0	0	144	0	0	0
LK-2215160	250	3	253	331	0	0	0	0	0	0	0	0	0	141	0	0	0	0	0	105	0	0	0
LK-2215165	224	2	227	297	0	0	0	0	0	0	0	0	0	127	0	0	0	0	0	94	0	0	0
LK-2215170	322	3	326	426	0	0	0	0	0	0	0	0	0	182	0	0	0	0	0	135	0	0	0
LK-2215175	262	3	266	348	0	0	0	0	0	0	0	0	0	148	0	0	0	0	0	110	0	0	0
LK-2215180	389	4	394	515	0	0	0	0	0	0	0	0	0	220	0	0	0	0	0	163	0	0	0
LK-2215185	201	2	203	266	0	0	0	0	0	0	0	0	0	114	0	0	0	0	0	84	0	0	0
LK-2215190	316	3	320	418	0	0	0	0	0	0	0	0	0	179	0	0	0	0	0	132	0	0	0
LK-2215195	260	3	263	344	0	0	0	0	0	0	0	0	0	147	0	0	0	0	0	109	0	0	0
LK-2215200	254	3	257	336	0	0	0	0	0	0	0	0	0	143	0	0	0	0	0	106	0	0	0
LK-2215205	163	1	165	216	0	0	0	0	0	0	0	0	0	92	0	0	0	0	0	68	0	0	0
LK-2215210	226	2	229	300	0	0	0	0	0	0	0	0	0	128	0	0	0	0	0	95	0	0	0
LK-2215215	340	4	344	450	0	0	0	0	0	0	0	0	0	192	0	0	0	0	0	142	0	0	0
LK-2215220	299	3	303	396	0	0	0	0	0	0	0	0	0	169	0	0	0	0	0	125	0	0	0
LK-2215225	247	3	250	326	0	0	0	0	0	0	0	0	0	139	0	0	0	0	0	103	0	0	0
LK-2215230	220	2	223	291	0	0	0	0	0	0	0	0	0	124	0	0	0	0	0	92	0	0	0
LK-2215235	199	2	202	264	0	0	0	0	0	0	0	0	0	113	0	0	0	0	0	83	0	0	0
LK-2215240	133	1	135	176	0	0	0	0	0	0	0	0	0	75	0	0	0	0	0	56	0	0	0
LK-2215245	209	2	211	276	0	0	0	0	0	0	0	0	0	118	0	0	0	0	0	87	0	0	0
LK-2215250	192	2	195	254	0	0	0	0	0	0	0	0	0	109	0	0	0	0	0	80	0	0	0
LK-2215255	268	3	272	355	0	0	0	0	0	0	0	0	0	152	0	0	0	0	0	112	0	0	0
LK-2215260	278	3	281	368	0	0	0	0	0	0	0	0	0	157	0	0	0	0	0	116	0	0	0
LK-2215265	202	2	205	268	0	0	0	0	0	0	0	0	0	114	0	0	0	0	0	85	0	0	0
LK-2215270	279	3	282	369	0	0	0	0	0	0	0	0	0	158	0	0	0	0	0	117	0	0	0
LK-2215275	232	2	235	307	0	0	0	0	0	0	0	0	0	131	0	0	0	0	0	97	0	0	0
LK-2215280	225	2	227	298	0	0	0	0	0	0	0	0	0	127	0	0	0	0	0	94	0	0	0
LK-2218	44219	514	44755	58534	26	34	0	0	22	1	3	11	40	25040	37	6	0	6	56	18527	18	4	0
LK-2218005	457	5	462	605	0	0	0	0	0	0	0	0	0	259	0	0	0	0	0	191	0	0	0
LK-2218010	1006	12	1018	1332	1	1	0	0	1	0	0	0	1	570	1	0	0	0	1	422	1	0	0
LK-2218015	490	5	496	649	0	0	0	0	0	0	0	0	0	277	0	0	0	0	0	205	0	0	0
LK-2218020	786	9	796	1041	0	1	0	0	0	0	0	0	1	445	1	0	0	0	1	329	0	0	0
LK-2218025	807	9	817	1069	0	1	0	0	0	0	0	0	1	457	1	0	0	0	1	338	0	0	0
LK-2218030	248	3	251	328	0	0	0	0	0	0	0	0	0	140	0	0	0	0	0	104	0	0	0
LK-2218035	483	5	489	639	0	0	0	0	0	0	0	0	0	273	0	0	0	0	0	202	0	0	0
LK-2218040	442	5	448	585	0	0	0	0	0	0	0	0	0	250	0	0	0	0	0	185	0	0	0
LK-2218045	586	7	593	775	0	0	0	0	0	0	0	0	0	332	0	0	0	0	1	245	0	0	0
LK-2218050	657	7	665	870	0	0	0	0	0	0	0	0	1	372	0	0	0	0	1	275	0	0	0
LK-2218055	251	3	254	332	0	0	0	0	0	0	0	0	0	142	0	0	0	0	0	105	0	0	0
LK-2218060	572	6	579	757	0	0	0	0	0	0	0	0	0	324	0	0	0	0	1	239	0	0	0
LK-2218065	374	4	379	495	0	0	0	0	0	0	0	0	0	212	0	0	0	0	0	157	0	0	0
LK-2218070	333	4	337	441	0	0	0	0	0	0	0	0	0	189	0	0	0	0	0	140	0	0	0
LK-2218075	471	5	476	623	0	0	0	0	0	0	0	0	0	266	0	0	0	0	0	197	0	0	0
LK-2218080	388	4	393	514	0	0	0	0	0	0	0	0	0	220	0	0	0	0	0	163	0	0	0
LK-2218085	601	7	608	796	0	0	0	0	0	0	0	0	0	340	0	0	0	0	1	252	0	0	0
LK-2218090	288	3	291	381	0	0	0	0	0	0	0	0	0	163	0	0	0	0	0	120	0	0	0
LK-2218095	1175	14	1189	1555	1	1	0	0	1	0	0	0	1	665	1	0	0	0	2	492	1	0	0
LK-2218100	521	6	527	689	0	0	0	0	0	0	0	0	0	295	0	0	0	0	1	218	0	0	0
LK-2218105	631	7	639	836	0	0	0	0	0	0	0	0	1	357	0	0	0	0	1	264	0	0	0
LK-2218110	475	5	480	628	0	0	0	0	0	0	0	0	0	269	0	0	0	0	0	199	0	0	0
LK-2218115	471	5	477	624	0	0	0	0	0	0	0	0	0	267	0	0	0	0	0	197	0	0	0
LK-2218120	1010	12	1022	1336	1	1	0	0	1	0	0	0	1	572	1	0	0	0	1	423	1	0	0
LK-2218125	824	10	834	1091	0	1	0	0	0	0	0	0	1	467	1	0	0	0	1	345	0	0	0
LK-2218130	988	12	1000	1307	1	1	0	0	1	0	0	0	1	559	1	0	0	0	1	414	1	0	0
LK-2218135	582	7	589	771	0	0	0	0	0	0	0	0	0	330	0	0	0	0	1	244	0	0	0
LK-2218140	2501	30	2531	3310	3	3	0	0	2	0	1	2	3	1416	3	1	0	1	4	1048	2	1	0
LK-2218145	501	6	507	664	0	0	0	0	0	0	0	0	0	284	0	0	0	0	0	210	0	0	0
LK-2218150	1996	24	2020	2642	2	2	0	0	2	0	0	1	3	1131	3	1	0	1	3	837	2	1	0
LK-2218155	2389	29	2419	3163	2	3	0	0	2	0	1	2	3	1353	3	1	0	1	4	1002	2	1	0
LK-2218160	1337	16	1353	1770	1	1	0	0	1	0	0	1	2	757	2	0	0	0	2	560	1	0	0
LK-2218165	1049	12	1062	1389	1	1	0	0	1	0	0	0	1	594	1	0	0	0	2	440	1	0	0
LK-2218170	520	6	526	688	0	0	0	0	0	0	0	0	0	294	0	0	0	0	1	218	0	0	0
LK-2218175	652	7	660	863	0	0	0	0	0	0	0	0	1	369	0	0	0	0	1	273	0	0	0
LK-2218180	1410	17	1427	1866	1	2	0	0	1	0	0	1	2	798	2	0	0	0	2	591	1	0	0
LK-2218185	1133	13	1147	1500	1	1	0	0	1	0	0	0	1	642	1	0	0	0	2	475	1	0	0
LK-2218190	2671	32	2704	3536	3	3	0	0	3	1	1	2	4	1513	4	1	0	1	5	1120	2	1	0
LK-2218195	853	10	863	1129	1	1	0	0	0	0	0	0	1	483	1	0	0	0	1	357	0	0	0
LK-2218200	1715	20	1736	2270	2	2	0	0	1	0	0	1	2	971	2	1	0	1	3	719	1	0	0
LK-2218205	803	9	812	1063	0	1	0	0	0	0	0	0	1	455	1	0	0	0	1	336	0	0	0
LK-2218210	497	6	503	658	0	0	0	0	0	0	0	0	0	281	0	0	0	0	0	208	0	0	0
LK-2218215	752	9	762	996	0	1	0	0	0	0	0	0	1	426	1	0	0	0	1	315	0	0	0
LK-2218220	950	11	961	1257	1	1	0	0	1	0	0	0	1	538	1	0	0	0	1	398	0	0	0
LK-2218225	933	11	944	1235	1	1	0	0	1	0	0	0	1	528	1	0	0	0	1	391	0	0	0
LK-2218230	1724	20	1745	2282	2	2	0	0	1	0	0	1	2	976	2	1	0	1	3	723	1	0	0
LK-2218235	801	9	811	1060	0	1	0	0	0	0	0	0	1	454	1	0	0	0	1	336	0	0	0
LK-2218240	503	6	509	666	0	0	0	0	0	0	0	0	0	285	0	0	0	0	0	211	0	0	0
LK-2218245	600	7	607	794	0	0	0	0	0	0	0	0	0	340	0	0	0	0	1	251	0	0	0
LK-2218250	611	7	619	809	0	0	0	0	0	0	0	0	0	346	0	0	0	0	1	256	0	0	0
LK-2218255	478	5	484	633	0	0	0	0	0	0	0	0	0	271	0	0	0	0	0	200	0	0	0
LK-2218260	923	11	934	1222	1	1	0	0	1	0	0	0	1	523	1	0	0	0	1	387	0	0	0
LK-2221	9960	91	10063	12472	1	1	0	0	0	0	0	0	3	3810	3	0	0	0	23	5994	12	0	0
LK-2221005	553	5	559	693	0	0	0	0	0	0	0	0	0	212	0	0	0	0	1	333	1	0	0
LK-2221010	833	8	841	1042	0	0	0	0	0	0	0	0	1	319	1	0	0	0	2	501	2	0	0
LK-2221015	356	3	360	446	0	0	0	0	0	0	0	0	0	136	0	0	0	0	1	214	0	0	0
LK-2221020	572	5	578	716	0	0	0	0	0	0	0	0	0	219	0	0	0	0	1	344	1	0	0
LK-2221025	334	3	337	418	0	0	0	0	0	0	0	0	0	127	0	0	0	0	1	201	0	0	0
LK-2221030	346	3	350	434	0	0	0	0	0	0	0	0	0	132	0	0	0	0	1	208	0	0	0
LK-2221035	478	4	483	599	0	0	0	0	0	0	0	0	0	183	0	0	0	0	1	288	1	0	0
LK-2221040	176	1	178	221	0	0	0	0	0	0	0	0	0	67	0	0	0	0	0	106	0	0	0
LK-2221045	381	3	385	477	0	0	0	0	0	0	0	0	0	146	0	0	0	0	1	229	0	0	0
LK-2221050	312	3	315	390	0	0	0	0	0	0	0	0	0	119	0	0	0	0	0	188	0	0	0
LK-2221055	537	5	542	672	0	0	0	0	0	0	0	0	0	205	0	0	0	0	1	323	1	0	0
LK-2221060	1080	11	1091	1352	1	1	0	0	0	0	0	0	1	413	1	0	0	0	3	650	2	0	0
LK-2221065	661	6	668	828	0	0	0	0	0	0	0	0	0	253	0	0	0	0	2	398	1	0	0
LK-2221070	258	2	261	323	0	0	0	0	0	0	0	0	0	99	0	0	0	0	0	155	0	0	0
LK-2221075	400	4	404	501	0	0	0	0	0	0	0	0	0	153	0	0	0	0	1	241	0	0	0
LK-2221080	804	8	812	1006	0	0	0	0	0	0	0	0	1	308	1	0	0	0	2	484	1	0	0
LK-2221085	731	7	739	916	0	0	0	0	0	0	0	0	0	280	0	0	0	0	2	440	1	0	0
LK-2221090	414	4	418	518	0	0	0	0	0	0	0	0	0	158	0	0	0	0	1	249	1	0	0
LK-2221095	364	3	368	456	0	0	0	0	0	0	0	0	0	139	0	0	0	0	1	219	0	0	0
LK-2221100	370	3	374	464	0	0	0	0	0	0	0	0	0	142	0	0	0	0	1	223	0	0	0
LK-2224	7697	62	7780	9645	0	0	0	0	0	0	0	0	0	2940	0	0	0	0	6	4624	3	0	0
LK-2224005	211	2	213	264	0	0	0	0	0	0	0	0	0	81	0	0	0	0	0	127	0	0	0
LK-2224010	459	4	464	575	0	0	0	0	0	0	0	0	0	175	0	0	0	0	1	276	1	0	0
LK-2224015	348	3	352	436	0	0	0	0	0	0	0	0	0	133	0	0	0	0	1	209	0	0	0
LK-2224020	428	4	433	537	0	0	0	0	0	0	0	0	0	164	0	0	0	0	1	258	1	0	0
LK-2224025	261	2	264	327	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	157	0	0	0
LK-2224030	291	3	294	365	0	0	0	0	0	0	0	0	0	111	0	0	0	0	0	175	0	0	0
LK-2224035	389	4	393	487	0	0	0	0	0	0	0	0	0	149	0	0	0	0	1	234	0	0	0
LK-2224040	597	6	603	747	0	0	0	0	0	0	0	0	0	228	0	0	0	0	1	359	1	0	0
LK-2224045	362	3	365	453	0	0	0	0	0	0	0	0	0	138	0	0	0	0	1	217	0	0	0
LK-2224050	242	2	244	303	0	0	0	0	0	0	0	0	0	92	0	0	0	0	0	145	0	0	0
LK-2224055	311	3	314	390	0	0	0	0	0	0	0	0	0	119	0	0	0	0	0	187	0	0	0
LK-2224060	35	0	36	44	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	21	0	0	0
LK-2224065	50	0	51	63	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	30	0	0	0
LK-2224070	220	2	222	276	0	0	0	0	0	0	0	0	0	84	0	0	0	0	0	132	0	0	0
LK-2224075	123	1	124	154	0	0	0	0	0	0	0	0	0	47	0	0	0	0	0	74	0	0	0
LK-2224080	135	1	137	169	0	0	0	0	0	0	0	0	0	51	0	0	0	0	0	81	0	0	0
LK-2224085	91	0	92	114	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0	55	0	0	0
LK-2224090	112	1	113	141	0	0	0	0	0	0	0	0	0	43	0	0	0	0	0	67	0	0	0
LK-2224095	125	1	126	157	0	0	0	0	0	0	0	0	0	48	0	0	0	0	0	75	0	0	0
LK-2224100	40	0	40	50	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	24	0	0	0
LK-2224105	319	3	323	400	0	0	0	0	0	0	0	0	0	122	0	0	0	0	0	192	0	0	0
LK-2224110	128	1	130	161	0	0	0	0	0	0	0	0	0	49	0	0	0	0	0	77	0	0	0
LK-2224115	279	2	282	350	0	0	0	0	0	0	0	0	0	107	0	0	0	0	0	168	0	0	0
LK-2224120	205	2	208	257	0	0	0	0	0	0	0	0	0	78	0	0	0	0	0	123	0	0	0
LK-2224125	132	1	133	165	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	79	0	0	0
LK-2224130	47	0	48	59	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	28	0	0	0
LK-2224135	219	2	222	275	0	0	0	0	0	0	0	0	0	84	0	0	0	0	0	132	0	0	0
LK-2224140	188	1	190	236	0	0	0	0	0	0	0	0	0	72	0	0	0	0	0	113	0	0	0
LK-2224145	261	2	264	327	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	157	0	0	0
LK-2224150	109	1	110	136	0	0	0	0	0	0	0	0	0	41	0	0	0	0	0	65	0	0	0
LK-2224155	84	0	85	105	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	50	0	0	0
LK-2224160	89	0	90	111	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	53	0	0	0
LK-2224165	107	1	108	134	0	0	0	0	0	0	0	0	0	41	0	0	0	0	0	64	0	0	0
LK-2224170	86	0	86	107	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	51	0	0	0
LK-2224175	277	2	280	347	0	0	0	0	0	0	0	0	0	106	0	0	0	0	0	166	0	0	0
LK-2224180	191	1	193	240	0	0	0	0	0	0	0	0	0	73	0	0	0	0	0	115	0	0	0
LK-2224185	146	1	148	183	0	0	0	0	0	0	0	0	0	56	0	0	0	0	0	88	0	0	0
LK-2227	18785	174	18976	23514	1	1	0	0	0	0	0	0	3	7178	3	0	0	1	38	11301	29	0	0
LK-2227005	175	1	177	219	0	0	0	0	0	0	0	0	0	67	0	0	0	0	0	105	0	0	0
LK-2227010	481	4	486	602	0	0	0	0	0	0	0	0	0	184	0	0	0	0	1	289	1	0	0
LK-2227015	382	3	386	478	0	0	0	0	0	0	0	0	0	146	0	0	0	0	1	230	0	0	0
LK-2227020	386	3	390	483	0	0	0	0	0	0	0	0	0	147	0	0	0	0	1	232	0	0	0
LK-2227025	348	3	351	435	0	0	0	0	0	0	0	0	0	133	0	0	0	0	1	209	0	0	0
LK-2227030	232	2	234	290	0	0	0	0	0	0	0	0	0	88	0	0	0	0	0	139	0	0	0
LK-2227035	497	5	502	623	0	0	0	0	0	0	0	0	0	190	0	0	0	0	1	299	1	0	0
LK-2227040	473	4	478	592	0	0	0	0	0	0	0	0	0	181	0	0	0	0	1	285	1	0	0
LK-2227045	437	4	441	547	0	0	0	0	0	0	0	0	0	167	0	0	0	0	1	263	1	0	0
LK-2227050	253	2	255	316	0	0	0	0	0	0	0	0	0	96	0	0	0	0	0	152	0	0	0
LK-2227055	431	4	436	540	0	0	0	0	0	0	0	0	0	165	0	0	0	0	1	259	1	0	0
LK-2227060	553	5	559	692	0	0	0	0	0	0	0	0	0	211	0	0	0	0	1	333	1	0	0
LK-2227065	602	6	608	754	0	0	0	0	0	0	0	0	0	230	0	0	0	0	1	362	1	0	0
LK-2227070	564	5	570	706	0	0	0	0	0	0	0	0	0	216	0	0	0	0	1	340	1	0	0
LK-2227075	529	5	535	663	0	0	0	0	0	0	0	0	0	202	0	0	0	0	1	318	1	0	0
LK-2227080	483	5	488	605	0	0	0	0	0	0	0	0	0	185	0	0	0	0	1	291	1	0	0
LK-2227085	418	4	422	523	0	0	0	0	0	0	0	0	0	160	0	0	0	0	1	251	1	0	0
LK-2227090	559	5	565	700	0	0	0	0	0	0	0	0	0	214	0	0	0	0	1	336	1	0	0
LK-2227095	169	1	171	212	0	0	0	0	0	0	0	0	0	64	0	0	0	0	0	102	0	0	0
LK-2227100	518	5	523	648	0	0	0	0	0	0	0	0	0	198	0	0	0	0	1	311	1	0	0
LK-2227105	161	1	162	201	0	0	0	0	0	0	0	0	0	61	0	0	0	0	0	97	0	0	0
LK-2227110	1225	12	1237	1533	1	1	0	0	0	0	0	0	1	469	1	0	0	1	3	737	2	0	0
LK-2227115	581	6	587	728	0	0	0	0	0	0	0	0	0	222	0	0	0	0	1	350	1	0	0
LK-2227120	497	5	502	622	0	0	0	0	0	0	0	0	0	190	0	0	0	0	1	299	1	0	0
LK-2227125	251	2	253	314	0	0	0	0	0	0	0	0	0	96	0	0	0	0	0	151	0	0	0
LK-2227130	369	3	372	462	0	0	0	0	0	0	0	0	0	141	0	0	0	0	1	222	0	0	0
LK-2227135	720	7	727	901	0	0	0	0	0	0	0	0	0	275	0	0	0	0	2	433	1	0	0
LK-2227140	527	5	533	660	0	0	0	0	0	0	0	0	0	202	0	0	0	0	1	317	1	0	0
LK-2227145	279	2	282	349	0	0	0	0	0	0	0	0	0	106	0	0	0	0	0	168	0	0	0
LK-2227150	675	6	682	845	0	0	0	0	0	0	0	0	0	258	0	0	0	0	2	406	1	0	0
LK-2227155	945	9	955	1183	0	0	0	0	0	0	0	0	1	361	1	0	0	0	2	569	2	0	0
LK-2227160	497	5	502	622	0	0	0	0	0	0	0	0	0	190	0	0	0	0	1	299	1	0	0
LK-2227165	328	3	332	411	0	0	0	0	0	0	0	0	0	125	0	0	0	0	1	198	0	0	0
LK-2227170	877	9	886	1097	0	0	0	0	0	0	0	0	1	335	1	0	0	0	2	528	2	0	0
LK-2227175	677	7	684	848	0	0	0	0	0	0	0	0	0	259	0	0	0	0	2	407	1	0	0
LK-2227180	606	6	612	758	0	0	0	0	0	0	0	0	0	232	0	0	0	0	1	364	1	0	0
LK-2227185	542	5	548	679	0	0	0	0	0	0	0	0	0	207	0	0	0	0	1	326	1	0	0
LK-2227190	430	4	434	538	0	0	0	0	0	0	0	0	0	164	0	0	0	0	1	259	1	0	0
LK-2227195	108	1	109	135	0	0	0	0	0	0	0	0	0	41	0	0	0	0	0	65	0	0	0
LK-2230	31104	445	31581	40991	8	28	0	0	14	0	0	4	23	16378	28	1	0	4	32	14144	30	0	0
LK-2230005	462	7	469	609	0	0	0	0	0	0	0	0	0	243	0	0	0	0	0	210	0	0	0
LK-2230010	458	6	465	603	0	0	0	0	0	0	0	0	0	241	0	0	0	0	0	208	0	0	0
LK-2230015	788	12	800	1038	0	1	0	0	1	0	0	0	1	415	1	0	0	0	1	358	1	0	0
LK-2230020	868	13	881	1144	1	1	0	0	1	0	0	0	1	457	1	0	0	0	1	395	1	0	0
LK-2230025	609	9	618	802	0	1	0	0	0	0	0	0	1	321	1	0	0	0	1	277	1	0	0
LK-2230030	842	12	854	1109	1	1	0	0	1	0	0	0	1	443	1	0	0	0	1	383	1	0	0
LK-2230035	1067	16	1083	1406	1	2	0	0	1	0	0	1	1	562	2	0	0	1	2	485	2	0	0
LK-2230040	455	6	462	600	0	0	0	0	0	0	0	0	0	240	0	0	0	0	0	207	0	0	0
LK-2230045	432	6	439	570	0	0	0	0	0	0	0	0	0	228	0	0	0	0	0	197	0	0	0
LK-2230050	380	5	386	501	0	0	0	0	0	0	0	0	0	200	0	0	0	0	0	173	0	0	0
LK-2230055	412	6	418	543	0	0	0	0	0	0	0	0	0	217	0	0	0	0	0	187	0	0	0
LK-2230060	617	9	627	813	0	1	0	0	0	0	0	0	1	325	1	0	0	0	1	281	1	0	0
LK-2230065	466	7	473	614	0	0	0	0	0	0	0	0	0	246	0	0	0	0	0	212	0	0	0
LK-2230070	502	7	510	662	0	0	0	0	0	0	0	0	0	264	0	0	0	0	1	228	0	0	0
LK-2230075	481	7	489	634	0	0	0	0	0	0	0	0	0	253	0	0	0	0	0	219	0	0	0
LK-2230080	314	4	319	414	0	0	0	0	0	0	0	0	0	165	0	0	0	0	0	143	0	0	0
