entity_id	valid	rejected	polled	electors	UNP	PA	TULF	JVP	SU	DLF	NLF	EPDP	USP	ULF	SLMK	SEP	SMBP	IND4	IND2	IND3	JSP	RJP	SLPF	IND1	SLNF
LK-2112160	427	31	459	684	197	202		21	1		2						0	0	0	0	0	0	0	0	0
LK-2112165	685	49	735	1096	317	324		33	3		4						0	0	0	0	0	0	0	0	0
LK-2112170	1348	98	1446	2158	623	638		66	5		8						0	0	0	0	0	0	0	0	0
LK-2112175	1018	74	1092	1629	471	482		50	4		6						0	0	0	0	0	0	0	0	0
LK-2112180	1707	124	1832	2733	790	808		84	7		10						0	0	0	0	0	0	0	0	0
LK-2112185	817	59	877	1308	378	387		40	3		5						0	0	0	0	0	0	0	0	0
LK-2112190	305	22	327	489	141	144		15	1		1						0	0	0	0	0	0	0	0	0
LK-2112195	396	28	425	635	183	187		19	1		2						0	0	0	0	0	0	0	0	0
LK-2112200	499	36	535	799	231	236		24	2		3						0	0	0	0	0	0	0	0	0
LK-2112205	481	35	516	770	222	227		23	2		3						0	0	0	0	0	0	0	0	0
LK-2112210	692	50	743	1108	320	327		34	3		4						0	0	0	0	0	0	0	0	0
LK-2112215	751	54	806	1203	347	355		37	3		4						0	0	0	0	0	0	0	0	0
LK-2112220	955	69	1024	1529	442	452		47	4		6						0	0	0	0	0	0	0	0	0
LK-2112225	763	55	819	1222	353	361		37	3		4						0	0	0	0	0	0	0	0	0
LK-2112230	574	41	616	919	265	271		28	2		3						0	0	0	0	0	0	0	0	0
LK-2112235	878	64	942	1406	406	415		43	3		5						0	0	0	0	0	0	0	0	0
LK-2112240	918	67	985	1469	424	434		45	4		5						0	0	0	0	0	0	0	0	0
LK-2112245	814	59	873	1303	376	385		40	3		5						0	0	0	0	0	0	0	0	0
LK-2112250	749	37	787	1033	421	256		54	10		3						0	0	0	0	0	0	0	0	0
LK-2112255	436	31	468	699	202	206		21	1		2						0	0	0	0	0	0	0	0	0
LK-2112260	384	28	412	615	178	182		18	1		2						0	0	0	0	0	0	0	0	0
LK-2115	9768	705	10480	15640	4516	4620		474	35		53						0	0	0	0	0	0	0	0	0
LK-2115005	1513	110	1623	2422	700	716		74	6		9						0	0	0	0	0	0	0	0	0
LK-2115010	302	22	324	483	139	143		14	1		1						0	0	0	0	0	0	0	0	0
LK-2115015	860	62	922	1377	398	407		42	3		5						0	0	0	0	0	0	0	0	0
LK-2115020	928	67	995	1485	429	439		45	4		5						0	0	0	0	0	0	0	0	0
LK-2115025	1023	74	1098	1638	473	484		50	4		6						0	0	0	0	0	0	0	0	0
LK-2115030	394	28	423	631	182	186		19	1		2						0	0	0	0	0	0	0	0	0
LK-2115035	321	23	345	515	148	152		15	1		2						0	0	0	0	0	0	0	0	0
LK-2115040	572	41	613	915	264	270		28	2		3						0	0	0	0	0	0	0	0	0
LK-2115045	1053	76	1130	1687	487	498		51	4		6						0	0	0	0	0	0	0	0	0
LK-2115050	608	44	652	973	281	287		29	2		3						0	0	0	0	0	0	0	0	0
LK-2115055	570	41	612	914	264	270		28	2		3						0	0	0	0	0	0	0	0	0
LK-2115060	437	31	469	699	202	206		21	1		2						0	0	0	0	0	0	0	0	0
LK-2115065	291	21	313	467	135	138		14	1		1						0	0	0	0	0	0	0	0	0
LK-2115070	896	65	961	1434	414	424		44	3		5						0	0	0	0	0	0	0	0	0
LK-2118	10075	1147	11257	14776	5194	4187		476	0		55						0	0	0	0	0	0	0	0	0
LK-2118005	128	15	143	188	66	53		6	0		1						0	0	0	0	0	0	0	0	0
LK-2118010	113	13	126	165	58	47		5	0		0						0	0	0	0	0	0	0	0	0
LK-2118015	52	6	59	77	27	22		2	0		0						0	0	0	0	0	0	0	0	0
LK-2118020	124	14	138	182	64	51		6	0		1						0	0	0	0	0	0	0	0	0
LK-2118025	34	4	38	50	17	14		1	0		0						0	0	0	0	0	0	0	0	0
LK-2118030	175	20	196	257	90	73		8	0		1						0	0	0	0	0	0	0	0	0
LK-2118035	146	17	163	214	75	61		7	0		1						0	0	0	0	0	0	0	0	0
LK-2118040	122	14	136	179	63	51		6	0		1						0	0	0	0	0	0	0	0	0
LK-2118045	160	18	179	234	82	66		8	0		1						0	0	0	0	0	0	0	0	0
LK-2118050	85	9	95	125	44	35		4	0		0						0	0	0	0	0	0	0	0	0
LK-2118055	103	12	115	151	53	43		5	0		0						0	0	0	0	0	0	0	0	0
LK-2118060	165	19	184	242	85	69		8	0		1						0	0	0	0	0	0	0	0	0
LK-2118065	348	40	388	509	179	145		17	0		2						0	0	0	0	0	0	0	0	0
LK-2118070	218	25	244	320	113	91		10	0		1						0	0	0	0	0	0	0	0	0
LK-2118075	196	22	219	287	101	81		9	0		1						0	0	0	0	0	0	0	0	0
LK-2118080	113	13	127	166	58	47		5	0		0						0	0	0	0	0	0	0	0	0
LK-2118085	124	14	139	182	64	52		6	0		1						0	0	0	0	0	0	0	0	0
LK-2118090	162	18	181	238	84	67		8	0		1						0	0	0	0	0	0	0	0	0
LK-2118095	97	11	108	142	50	40		4	0		0						0	0	0	0	0	0	0	0	0
LK-2118100	105	12	117	153	54	43		5	0		0						0	0	0	0	0	0	0	0	0
LK-2118105	200	23	224	294	103	83		10	0		1						0	0	0	0	0	0	0	0	0
LK-2118110	134	15	150	197	69	56		6	0		1						0	0	0	0	0	0	0	0	0
LK-2118115	108	12	120	158	55	45		5	0		0						0	0	0	0	0	0	0	0	0
LK-2118120	210	24	235	308	108	87		10	0		1						0	0	0	0	0	0	0	0	0
LK-2118125	148	17	166	218	76	62		7	0		1						0	0	0	0	0	0	0	0	0
LK-2118130	90	10	101	133	46	37		4	0		0						0	0	0	0	0	0	0	0	0
LK-2118135	268	31	299	393	138	112		13	0		2						0	0	0	0	0	0	0	0	0
LK-2118140	245	28	274	360	127	102		12	0		2						0	0	0	0	0	0	0	0	0
LK-2118145	178	20	198	260	92	74		8	0		1						0	0	0	0	0	0	0	0	0
LK-2118150	547	63	611	802	283	228		27	0		4						0	0	0	0	0	0	0	0	0
LK-2118155	213	24	238	312	110	89		10	0		1						0	0	0	0	0	0	0	0	0
LK-2118160	153	17	171	224	79	64		7	0		1						0	0	0	0	0	0	0	0	0
LK-2118165	129	15	144	190	67	54		6	0		1						0	0	0	0	0	0	0	0	0
LK-2118170	191	22	213	280	98	79		9	0		1						0	0	0	0	0	0	0	0	0
LK-2118175	290	33	324	425	150	121		14	0		2						0	0	0	0	0	0	0	0	0
LK-2118180	147	17	165	216	76	61		7	0		1						0	0	0	0	0	0	0	0	0
LK-2118185	116	13	130	171	60	48		5	0		1						0	0	0	0	0	0	0	0	0
LK-2118190	101	11	113	148	52	42		5	0		0						0	0	0	0	0	0	0	0	0
LK-2118195	221	25	246	323	114	92		11	0		1						0	0	0	0	0	0	0	0	0
LK-2118200	74	8	83	109	38	31		3	0		0						0	0	0	0	0	0	0	0	0
LK-2118205	127	14	142	187	66	53		6	0		1						0	0	0	0	0	0	0	0	0
LK-2118210	96	11	108	141	50	40		4	0		0						0	0	0	0	0	0	0	0	0
LK-2118215	169	19	189	248	87	70		8	0		1						0	0	0	0	0	0	0	0	0
LK-2118220	133	15	149	196	69	55		6	0		1						0	0	0	0	0	0	0	0	0
LK-2118225	248	29	278	364	128	103		12	0		2						0	0	0	0	0	0	0	0	0
LK-2118230	112	13	125	164	58	46		5	0		0						0	0	0	0	0	0	0	0	0
LK-2118235	118	13	132	173	61	49		5	0		1						0	0	0	0	0	0	0	0	0
LK-2118240	211	24	236	310	109	88		10	0		1						0	0	0	0	0	0	0	0	0
LK-2118245	200	23	223	293	103	83		10	0		1						0	0	0	0	0	0	0	0	0
LK-2118250	89	10	99	130	46	37		4	0		0						0	0	0	0	0	0	0	0	0
LK-2118255	102	11	114	149	52	42		5	0		0						0	0	0	0	0	0	0	0	0
LK-2118260	125	14	139	183	64	52		6	0		1						0	0	0	0	0	0	0	0	0
LK-2118265	123	14	138	181	63	51		6	0		1						0	0	0	0	0	0	0	0	0
LK-2118270	192	22	215	282	99	80		9	0		1						0	0	0	0	0	0	0	0	0
LK-2118275	153	17	170	224	79	63		7	0		1						0	0	0	0	0	0	0	0	0
LK-2118280	189	22	211	277	97	78		9	0		1						0	0	0	0	0	0	0	0	0
LK-2118285	69	8	77	101	35	28		3	0		0						0	0	0	0	0	0	0	0	0
LK-2118290	296	34	331	434	153	123		14	0		2						0	0	0	0	0	0	0	0	0
LK-2118295	368	42	411	539	190	153		18	0		3						0	0	0	0	0	0	0	0	0
LK-2118300	210	24	234	307	108	87		10	0		1						0	0	0	0	0	0	0	0	0
LK-2118305	66	7	73	97	34	27		3	0		0						0	0	0	0	0	0	0	0	0
LK-2118310	146	17	163	214	75	61		7	0		1						0	0	0	0	0	0	0	0	0
LK-2121	23675	2742	26440	34693	12229	9866		1167	15		181						0	0	0	0	0	0	0	0	0
LK-2121005	49	5	55	72	25	20		2	0		0						0	0	0	0	0	0	0	0	0
LK-2121010	90	10	100	132	46	37		4	0		0						0	0	0	0	0	0	0	0	0
LK-2121015	778	90	869	1140	402	324		39	1		6						0	0	0	0	0	0	0	0	0
LK-2121020	621	72	693	910	321	259		31	1		5						0	0	0	0	0	0	0	0	0
LK-2121025	993	115	1108	1454	513	414		49	1		8						0	0	0	0	0	0	0	0	0
LK-2121030	725	84	810	1063	375	302		36	1		6						0	0	0	0	0	0	0	0	0
LK-2121035	519	60	580	761	268	216		26	0		4						0	0	0	0	0	0	0	0	0
LK-2121040	360	42	402	528	186	150		18	0		3						0	0	0	0	0	0	0	0	0
LK-2121045	147	17	165	216	76	61		7	0		1						0	0	0	0	0	0	0	0	0
LK-2121050	48	5	54	71	25	20		2	0		0						0	0	0	0	0	0	0	0	0
LK-2121055	456	53	509	668	235	190		22	0		3						0	0	0	0	0	0	0	0	0
LK-2121060	541	63	604	792	279	225		27	0		4						0	0	0	0	0	0	0	0	0
LK-2121065	570	66	636	835	294	237		28	0		4						0	0	0	0	0	0	0	0	0
LK-2121070	721	84	805	1057	373	301		36	1		6						0	0	0	0	0	0	0	0	0
LK-2121075	649	75	725	952	336	271		32	1		5						0	0	0	0	0	0	0	0	0
LK-2121080	421	49	470	617	217	175		21	0		3						0	0	0	0	0	0	0	0	0
LK-2121085	338	39	377	495	174	141		16	0		2						0	0	0	0	0	0	0	0	0
LK-2121090	619	72	691	907	320	258		31	1		5						0	0	0	0	0	0	0	0	0
LK-2121095	162	18	181	238	84	67		8	0		1						0	0	0	0	0	0	0	0	0
LK-2121100	503	58	562	737	260	210		25	0		4						0	0	0	0	0	0	0	0	0
LK-2121105	306	35	342	449	158	127		15	0		2						0	0	0	0	0	0	0	0	0
LK-2121110	383	44	427	561	198	159		19	0		3						0	0	0	0	0	0	0	0	0
LK-2121115	542	63	605	794	280	226		27	0		4						0	0	0	0	0	0	0	0	0
LK-2121120	367	42	410	537	189	153		18	0		3						0	0	0	0	0	0	0	0	0
LK-2121125	643	75	718	942	332	268		32	1		5						0	0	0	0	0	0	0	0	0
LK-2121130	373	43	416	546	192	155		18	0		3						0	0	0	0	0	0	0	0	0
LK-2121135	659	76	736	965	340	275		33	1		5						0	0	0	0	0	0	0	0	0
LK-2121140	872	101	974	1278	451	364		43	1		7						0	0	0	0	0	0	0	0	0
LK-2121145	646	75	722	947	334	269		32	1		5						0	0	0	0	0	0	0	0	0
LK-2121150	550	64	615	806	284	229		27	0		4						0	0	0	0	0	0	0	0	0
LK-2121155	583	68	651	855	301	243		29	0		5						0	0	0	0	0	0	0	0	0
LK-2121160	367	42	410	537	189	153		18	0		3						0	0	0	0	0	0	0	0	0
LK-2121165	474	55	529	694	245	197		23	0		4						0	0	0	0	0	0	0	0	0
LK-2121170	758	88	847	1111	392	316		38	1		6						0	0	0	0	0	0	0	0	0
LK-2121175	775	90	866	1136	400	323		38	1		6						0	0	0	0	0	0	0	0	0
LK-2121180	378	44	422	554	195	157		18	0		3						0	0	0	0	0	0	0	0	0
LK-2121185	524	61	586	768	271	219		26	0		4						0	0	0	0	0	0	0	0	0
LK-2121190	542	63	605	794	280	226		27	0		4						0	0	0	0	0	0	0	0	0
LK-2121195	517	60	578	758	267	216		25	0		4						0	0	0	0	0	0	0	0	0
LK-2121200	772	90	862	1131	399	322		38	1		6						0	0	0	0	0	0	0	0	0
LK-2121205	642	75	717	941	332	268		32	1		5						0	0	0	0	0	0	0	0	0
LK-2121210	314	36	350	460	162	131		15	0		2						0	0	0	0	0	0	0	0	0
LK-2121215	314	36	350	460	162	131		15	0		2						0	0	0	0	0	0	0	0	0
LK-2121220	410	47	458	600	212	171		20	0		3						0	0	0	0	0	0	0	0	0
LK-2121225	515	60	575	755	266	215		25	0		4						0	0	0	0	0	0	0	0	0
LK-2121230	586	68	655	859	303	244		29	0		5						0	0	0	0	0	0	0	0	0
LK-2121235	283	33	316	414	146	118		14	0		2						0	0	0	0	0	0	0	0	0
LK-2121240	270	31	302	396	140	113		13	0		2						0	0	0	0	0	0	0	0	0
LK-2124	27184	2732	29967	37853	13745	11232		1650	7		223						0	0	0	0	0	0	0	0	0
LK-2124005	112	11	124	157	57	46		7	0		1						0	0	0	0	0	0	0	0	0
LK-2124010	356	36	393	496	180	147		22	0		3						0	0	0	0	0	0	0	0	0
LK-2124015	177	18	195	247	89	73		11	0		1						0	0	0	0	0	0	0	0	0
LK-2124020	120	12	132	167	60	49		7	0		1						0	0	0	0	0	0	0	0	0
LK-2124025	311	31	343	433	157	128		19	0		3						0	0	0	0	0	0	0	0	0
LK-2124030	224	22	247	312	113	93		14	0		2						0	0	0	0	0	0	0	0	0
LK-2124035	159	16	175	221	80	65		9	0		1						0	0	0	0	0	0	0	0	0
LK-2124040	142	14	156	198	72	58		8	0		1						0	0	0	0	0	0	0	0	0
LK-2124045	131	13	144	182	66	54		8	0		1						0	0	0	0	0	0	0	0	0
LK-2124050	218	22	240	303	110	90		13	0		2						0	0	0	0	0	0	0	0	0
LK-2124055	125	12	138	175	63	52		7	0		1						0	0	0	0	0	0	0	0	0
LK-2124060	485	49	535	676	246	201		30	1		4						0	0	0	0	0	0	0	0	0
LK-2124065	344	35	380	479	174	142		21	0		3						0	0	0	0	0	0	0	0	0
LK-2124070	348	35	384	485	176	144		21	0		3						0	0	0	0	0	0	0	0	0
LK-2124075	194	19	214	271	98	80		12	0		1						0	0	0	0	0	0	0	0	0
LK-2124080	148	15	163	206	75	61		9	0		1						0	0	0	0	0	0	0	0	0
LK-2124085	236	24	260	328	119	97		14	0		2						0	0	0	0	0	0	0	0	0
LK-2124090	77	7	85	108	39	32		4	0		0						0	0	0	0	0	0	0	0	0
LK-2124095	265	27	293	370	134	110		16	0		2						0	0	0	0	0	0	0	0	0
LK-2124100	203	20	223	282	102	84		12	0		1						0	0	0	0	0	0	0	0	0
LK-2124105	421	42	464	586	213	174		26	0		4						0	0	0	0	0	0	0	0	0
LK-2124110	149	15	165	208	75	62		9	0		1						0	0	0	0	0	0	0	0	0
LK-2124115	197	20	217	275	100	81		12	0		1						0	0	0	0	0	0	0	0	0
LK-2124120	451	46	497	628	228	186		28	0		4						0	0	0	0	0	0	0	0	0
LK-2124125	216	22	238	301	109	89		13	0		2						0	0	0	0	0	0	0	0	0
LK-2124130	273	27	301	380	138	113		17	0		2						0	0	0	0	0	0	0	0	0
LK-2124135	127	13	140	177	64	52		7	0		1						0	0	0	0	0	0	0	0	0
LK-2124140	288	29	318	401	146	119		17	0		2						0	0	0	0	0	0	0	0	0
LK-2124145	223	22	246	311	113	92		13	0		2						0	0	0	0	0	0	0	0	0
LK-2124150	355	36	391	494	180	147		22	0		3						0	0	0	0	0	0	0	0	0
LK-2124155	257	26	284	358	130	106		16	0		2						0	0	0	0	0	0	0	0	0
LK-2124160	194	19	214	270	98	80		12	0		1						0	0	0	0	0	0	0	0	0
LK-2124165	342	34	377	476	173	141		21	0		3						0	0	0	0	0	0	0	0	0
LK-2124170	166	17	183	232	84	69		10	0		1						0	0	0	0	0	0	0	0	0
LK-2124175	178	18	196	248	90	73		11	0		1						0	0	0	0	0	0	0	0	0
LK-2124180	219	22	242	306	111	91		13	0		2						0	0	0	0	0	0	0	0	0
LK-2124185	261	26	288	363	132	108		16	0		2						0	0	0	0	0	0	0	0	0
LK-2124190	176	17	194	245	89	72		10	0		1						0	0	0	0	0	0	0	0	0
LK-2124195	219	22	242	306	111	91		13	0		2						0	0	0	0	0	0	0	0	0
LK-2124200	158	16	175	221	80	65		9	0		1						0	0	0	0	0	0	0	0	0
LK-2124205	277	28	306	386	140	115		17	0		2						0	0	0	0	0	0	0	0	0
LK-2124210	290	29	320	404	147	120		18	0		2						0	0	0	0	0	0	0	0	0
LK-2124215	201	20	222	280	102	83		12	0		1						0	0	0	0	0	0	0	0	0
LK-2124220	426	43	470	593	216	176		26	0		4						0	0	0	0	0	0	0	0	0
LK-2124225	426	43	469	592	215	176		26	0		4						0	0	0	0	0	0	0	0	0
LK-2124230	330	33	363	459	167	136		20	0		3						0	0	0	0	0	0	0	0	0
LK-2124235	386	39	426	538	195	160		24	0		3						0	0	0	0	0	0	0	0	0
LK-2124240	339	34	373	471	171	140		21	0		3						0	0	0	0	0	0	0	0	0
LK-2124245	351	35	387	489	178	145		21	0		3						0	0	0	0	0	0	0	0	0
LK-2124250	632	64	696	879	320	261		39	1		6						0	0	0	0	0	0	0	0	0
LK-2124255	413	42	455	574	209	171		25	0		4						0	0	0	0	0	0	0	0	0
LK-2124260	346	35	381	481	175	143		21	0		3						0	0	0	0	0	0	0	0	0
LK-2124265	219	22	242	306	111	91		13	0		2						0	0	0	0	0	0	0	0	0
LK-2124270	170	17	187	236	86	70		10	0		1						0	0	0	0	0	0	0	0	0
LK-2124275	383	39	422	533	194	158		23	0		3						0	0	0	0	0	0	0	0	0
LK-2124280	380	38	418	529	192	157		23	0		3						0	0	0	0	0	0	0	0	0
LK-2124285	304	31	335	424	154	126		18	0		2						0	0	0	0	0	0	0	0	0
LK-2124290	331	33	364	460	167	137		20	0		3						0	0	0	0	0	0	0	0	0
LK-2124295	223	22	245	310	112	92		13	0		2						0	0	0	0	0	0	0	0	0
LK-2124300	277	28	305	385	140	114		17	0		2						0	0	0	0	0	0	0	0	0
LK-2124305	301	30	332	419	152	124		18	0		2						0	0	0	0	0	0	0	0	0
LK-2124310	328	33	362	457	166	136		20	0		3						0	0	0	0	0	0	0	0	0
LK-2124315	344	35	379	479	174	142		21	0		3						0	0	0	0	0	0	0	0	0
LK-2124320	228	23	251	317	115	94		14	0		2						0	0	0	0	0	0	0	0	0
LK-2124325	258	26	284	359	130	106		16	0		2						0	0	0	0	0	0	0	0	0
LK-2124330	287	29	317	400	145	119		17	0		2						0	0	0	0	0	0	0	0	0
LK-2124335	476	48	525	663	241	197		29	1		4						0	0	0	0	0	0	0	0	0
LK-2124340	815	83	898	1135	413	337		50	1		8						0	0	0	0	0	0	0	0	0
LK-2124345	633	64	697	881	320	262		39	1		6						0	0	0	0	0	0	0	0	0
LK-2124350	723	73	797	1006	366	299		45	1		7						0	0	0	0	0	0	0	0	0
LK-2124355	365	37	402	507	184	151		22	0		3						0	0	0	0	0	0	0	0	0
LK-2124360	344	35	380	479	174	142		21	0		3						0	0	0	0	0	0	0	0	0
LK-2124365	337	34	372	470	171	139		21	0		3						0	0	0	0	0	0	0	0	0
LK-2124370	211	21	232	293	106	87		13	0		2						0	0	0	0	0	0	0	0	0
LK-2124375	319	32	351	443	161	132		19	0		3						0	0	0	0	0	0	0	0	0
LK-2124380	863	88	951	1201	437	357		53	1		8						0	0	0	0	0	0	0	0	0
LK-2124385	418	42	460	581	211	173		26	0		4						0	0	0	0	0	0	0	0	0
LK-2124390	389	39	429	542	197	161		24	0		3						0	0	0	0	0	0	0	0	0
LK-2124395	174	17	192	242	88	72		10	0		1						0	0	0	0	0	0	0	0	0
LK-2124400	317	32	349	441	160	131		19	0		3						0	0	0	0	0	0	0	0	0
LK-2124405	250	25	275	348	126	103		15	0		2						0	0	0	0	0	0	0	0	0
LK-2124410	269	27	297	375	136	111		16	0		2						0	0	0	0	0	0	0	0	0
LK-2124415	293	29	323	408	148	121		18	0		2						0	0	0	0	0	0	0	0	0
LK-2124425	376	38	415	524	190	155		23	0		3						0	0	0	0	0	0	0	0	0
LK-2124430	282	28	311	393	143	117		17	0		2						0	0	0	0	0	0	0	0	0
LK-2124435	200	20	221	279	101	83		12	0		1						0	0	0	0	0	0	0	0	0
LK-2124440	331	33	365	461	168	137		20	0		3						0	0	0	0	0	0	0	0	0
LK-2124445	282	28	311	393	143	117		17	0		2						0	0	0	0	0	0	0	0	0
LK-2124450	197	20	217	274	99	81		12	0		1						0	0	0	0	0	0	0	0	0
LK-2124455	232	23	256	324	117	96		14	0		2						0	0	0	0	0	0	0	0	0
LK-2124460	155	15	171	216	78	64		9	0		1						0	0	0	0	0	0	0	0	0
LK-2124465	116	11	128	162	58	48		7	0		1						0	0	0	0	0	0	0	0	0
LK-2124470	122	12	135	170	62	50		7	0		1						0	0	0	0	0	0	0	0	0
LK-2127	49848	3374	53258	70347	26774	18870		3314	292		241						1	0	1	0	0	0	0	0	0
LK-2127005	515	35	550	726	276	195		34	3		2						0	0	0	0	0	0	0	0	0
LK-2127010	346	23	370	489	186	131		23	2		1						0	0	0	0	0	0	0	0	0
LK-2127015	308	21	329	434	165	116		20	2		1						0	0	0	0	0	0	0	0	0
LK-2127020	518	35	553	731	278	196		34	3		2						0	0	0	0	0	0	0	0	0
LK-2127025	377	25	403	532	203	143		25	2		2						0	0	0	0	0	0	0	0	0
LK-2127030	339	23	362	478	182	128		22	2		1						0	0	0	0	0	0	0	0	0
LK-2127035	440	30	470	621	236	166		29	2		2						0	0	0	0	0	0	0	0	0
LK-2127040	397	27	424	561	213	150		26	2		2						0	0	0	0	0	0	0	0	0
LK-2127045	288	19	308	407	155	109		19	1		1						0	0	0	0	0	0	0	0	0
LK-2127050	361	24	386	510	194	137		24	2		2						0	0	0	0	0	0	0	0	0
LK-2127055	323	22	345	456	173	122		21	2		1						0	0	0	0	0	0	0	0	0
LK-2127060	377	25	403	532	202	142		25	2		2						0	0	0	0	0	0	0	0	0
LK-2127065	421	28	450	594	226	159		28	2		2						0	0	0	0	0	0	0	0	0
LK-2127070	279	19	298	393	150	105		18	1		1						0	0	0	0	0	0	0	0	0
LK-2127075	237	16	253	335	127	90		15	1		1						0	0	0	0	0	0	0	0	0
LK-2127080	538	36	575	759	289	204		36	3		3						0	0	0	0	0	0	0	0	0
LK-2127085	357	24	381	504	192	135		24	2		2						0	0	0	0	0	0	0	0	0
LK-2127090	789	54	843	1113	424	299		53	5		4						0	0	0	0	0	0	0	0	0
LK-2127095	325	22	347	458	174	123		21	2		1						0	0	0	0	0	0	0	0	0
LK-2127100	587	40	627	828	315	222		39	3		3						0	0	0	0	0	0	0	0	0
LK-2127105	398	27	425	562	214	151		26	2		2						0	0	0	0	0	0	0	0	0
LK-2127110	380	25	406	536	204	144		25	2		2						0	0	0	0	0	0	0	0	0
LK-2127115	1058	72	1130	1493	568	401		71	7		5						0	0	0	0	0	0	0	0	0
LK-2127120	721	49	770	1017	387	273		48	4		4						0	0	0	0	0	0	0	0	0
LK-2127125	600	41	641	846	322	227		40	3		3						0	0	0	0	0	0	0	0	0
LK-2127130	498	34	532	702	267	188		33	3		2						0	0	0	0	0	0	0	0	0
LK-2127135	510	34	545	720	274	193		34	3		2						0	0	0	0	0	0	0	0	0
LK-2127140	445	30	476	629	239	169		29	2		2						0	0	0	0	0	0	0	0	0
LK-2127145	385	26	412	544	207	146		25	2		2						0	0	0	0	0	0	0	0	0
LK-2127150	374	25	400	528	201	141		25	2		2						0	0	0	0	0	0	0	0	0
LK-2127155	565	38	604	798	304	214		38	3		3						0	0	0	0	0	0	0	0	0
LK-2127160	377	25	403	532	203	143		25	2		2						0	0	0	0	0	0	0	0	0
LK-2127165	537	36	573	757	288	203		36	3		3						0	0	0	0	0	0	0	0	0
LK-2127170	1029	70	1100	1452	553	390		69	6		5						0	0	0	0	0	0	0	0	0
LK-2127175	664	45	709	937	357	251		44	4		3						0	0	0	0	0	0	0	0	0
LK-2127180	518	35	553	731	278	196		34	3		2						0	0	0	0	0	0	0	0	0
LK-2127185	350	23	374	494	188	132		23	2		1						0	0	0	0	0	0	0	0	0
LK-2127190	484	33	517	683	260	183		32	3		2						0	0	0	0	0	0	0	0	0
LK-2127195	636	43	679	897	341	241		42	4		3						0	0	0	0	0	0	0	0	0
LK-2127200	404	27	432	571	217	153		27	2		2						0	0	0	0	0	0	0	0	0
LK-2127205	519	35	555	733	279	197		34	3		2						0	0	0	0	0	0	0	0	0
LK-2127210	426	29	455	602	229	161		28	2		2						0	0	0	0	0	0	0	0	0
LK-2127215	476	32	508	671	255	180		32	3		2						0	0	0	0	0	0	0	0	0
LK-2127220	555	38	593	783	298	210		37	3		3						0	0	0	0	0	0	0	0	0
LK-2127225	606	41	647	855	325	229		40	4		3						0	0	0	0	0	0	0	0	0
LK-2127230	422	28	451	596	227	160		28	2		2						0	0	0	0	0	0	0	0	0
LK-2127235	648	44	693	915	348	245		43	4		3						0	0	0	0	0	0	0	0	0
LK-2127240	388	26	415	548	208	147		26	2		2						0	0	0	0	0	0	0	0	0
LK-2127245	489	33	523	691	263	185		32	3		2						0	0	0	0	0	0	0	0	0
LK-2127250	576	39	615	813	309	218		38	3		3						0	0	0	0	0	0	0	0	0
LK-2127255	661	45	706	932	355	250		44	4		3						0	0	0	0	0	0	0	0	0
LK-2127260	582	39	622	821	312	220		39	3		3						0	0	0	0	0	0	0	0	0
LK-2127265	430	29	459	607	231	163		28	2		2						0	0	0	0	0	0	0	0	0
LK-2127270	652	44	697	921	350	247		43	4		3						0	0	0	0	0	0	0	0	0
LK-2127275	1221	83	1304	1723	656	462		82	8		6						0	0	0	0	0	0	0	0	0
LK-2127280	869	59	929	1227	467	329		58	5		4						0	0	0	0	0	0	0	0	0
LK-2127285	909	62	971	1282	488	344		61	6		5						0	0	0	0	0	0	0	0	0
LK-2127290	1354	92	1447	1910	728	513		91	8		7						0	0	0	0	0	0	0	0	0
LK-2127295	522	35	557	736	280	197		35	3		2						0	0	0	0	0	0	0	0	0
LK-2127300	618	42	660	872	332	234		41	4		3						0	0	0	0	0	0	0	0	0
LK-2127305	421	28	450	594	226	159		28	2		2						0	0	0	0	0	0	0	0	0
LK-2127310	258	17	276	365	139	98		17	1		1						0	0	0	0	0	0	0	0	0
LK-2127315	687	47	734	970	369	260		46	4		3						0	0	0	0	0	0	0	0	0
LK-2127320	343	23	366	484	184	130		23	2		1						0	0	0	0	0	0	0	0	0
LK-2127325	518	35	554	731	278	196		34	3		2						0	0	0	0	0	0	0	0	0
LK-2127330	370	25	395	522	199	140		24	2		2						0	0	0	0	0	0	0	0	0
LK-2127335	255	17	272	360	137	96		17	1		1						0	0	0	0	0	0	0	0	0
LK-2127340	422	28	450	595	226	159		28	2		2						0	0	0	0	0	0	0	0	0
LK-2127345	942	64	1007	1329	506	357		63	6		5						0	0	0	0	0	0	0	0	0
LK-2127350	879	60	939	1241	472	333		59	5		4						0	0	0	0	0	0	0	0	0
LK-2127355	1818	124	1943	2566	977	689		122	12		10						0	0	0	0	0	0	0	0	0
LK-2127360	2763	189	2952	3899	1485	1047		185	18		15						1	0	1	0	0	0	0	0	0
LK-2127365	757	51	809	1068	407	287		50	5		4						0	0	0	0	0	0	0	0	0
LK-2127370	1634	111	1746	2306	878	619		109	10		9						0	0	0	0	0	0	0	0	0
LK-2127375	454	31	485	640	244	172		30	3		2						0	0	0	0	0	0	0	0	0
LK-2127380	1016	69	1085	1434	546	385		68	6		5						0	0	0	0	0	0	0	0	0
LK-2127385	504	34	539	712	271	191		33	3		2						0	0	0	0	0	0	0	0	0
